Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,ratings
61,Chinatown,40.71561842231432,-73.99427936255978,Lan Zhou Handmade Noodle & Dumpling,59e7bfa8356b4970aea1be3f,40.71554266411927,-73.99674213744804,Noodle House,8.0
62,Chinatown,40.71561842231432,-73.99427936255978,Wayla,5cc4e9d0c876c8002c3010cb,40.7182908437571,-73.99258397519587,Thai Restaurant,7.9
63,Chinatown,40.71561842231432,-73.99427936255978,Fong On,5596ea13498e6d86ec66d614,40.714165,-73.9937,Dessert Shop,8.3
64,Chinatown,40.71561842231432,-73.99427936255978,Joe's Shanghai 鹿嗚春,5ded51eaf492de00080966ed,40.715660976853044,-73.99669268189086,Shanghai Restaurant,8.9
65,Chinatown,40.71561842231432,-73.99427936255978,Bacaro,472a027af964a520ea4b1fe3,40.714467897557796,-73.9915893664933,Italian Restaurant,8.0
66,Chinatown,40.71561842231432,-73.99427936255978,The Original Chinatown Ice Cream Factory,3fd66200f964a52033eb1ee3,40.71552144597582,-73.99814520882326,Ice Cream Shop,8.1
67,Chinatown,40.71561842231432,-73.99427936255978,2 Bridges Music & Arts,585b2211abc6d60cc3f677df,40.713651,-73.994377,Record Shop,8.0
68,Chinatown,40.71561842231432,-73.99427936255978,La Petite Mort,529ccfdc498e49b7aa41cd22,40.715906,-73.991515,Boutique,8.8
69,Chinatown,40.71561842231432,-73.99427936255978,New Malaysia,4bb92a9453649c74dacb47fb,40.715786861307095,-73.9969050590344,Malay Restaurant,9.1
70,Chinatown,40.71561842231432,-73.99427936255978,oo35mm.com,4faf47ac121dc10e48519a89,40.716604729318206,-73.99789000508754,Cosmetics Shop,8.7
71,Chinatown,40.71561842231432,-73.99427936255978,Simple,574f2ae0498ec2a700651b95,40.718145142030956,-73.99198775758144,Asian Restaurant,8.1
72,Chinatown,40.71561842231432,-73.99427936255978,Dimes Deli,56152506498ef893010e1273,40.71459195873029,-73.99081729031317,Organic Grocery,7.9
73,Chinatown,40.71561842231432,-73.99427936255978,Jing Fong Restaurant 金豐大酒樓,3fd66200f964a520d5e31ee3,40.715881202941205,-73.99720861552515,Dim Sum Restaurant,8.4
74,Chinatown,40.71561842231432,-73.99427936255978,Grand Seoul,5b4169604a1cc0002c9bdb7c,40.717446839086094,-73.99425648068716,Korean Restaurant,7.8
75,Chinatown,40.71561842231432,-73.99427936255978,Nam Son Vietnamese Restaurant,4a7e3d0cf964a52088f11fe3,40.718214526047454,-73.99434463491644,Vietnamese Restaurant,8.3
76,Chinatown,40.71561842231432,-73.99427936255978,Rabbit House,56f73e71498efedad2c1e41c,40.717233020069855,-73.99326860904694,Sake Bar,8.9
77,Chinatown,40.71561842231432,-73.99427936255978,Sofar HQ,57d9e582498e1a4d9f13ede7,40.713522533975755,-73.99628875186677,Music Venue,8.2
78,Chinatown,40.71561842231432,-73.99427936255978,Apothéke,48c91543f964a520e4511fe3,40.71446997055456,-73.99801834428807,Cocktail Bar,8.0
79,Chinatown,40.71561842231432,-73.99427936255978,Hong Kong Supermarket 香港超級市場,4ae4bf7ef964a520bf9d21e3,40.717595732385966,-73.99617253722293,Supermarket,8.1
80,Chinatown,40.71561842231432,-73.99427936255978,Great N.Y. Noodletown,3fd66200f964a520b1ea1ee3,40.715039001656855,-73.99694075378208,Chinese Restaurant,7.9
81,Chinatown,40.71561842231432,-73.99427936255978,99 Favor Taste 99號餐廳,530ff20411d2a01b7bb8a19c,40.71756,-73.99258,Hotpot Restaurant,9.1
82,Chinatown,40.71561842231432,-73.99427936255978,Winnie’s Bar,5c65df02178a2a002c123450,40.71365422614806,-73.99519249882736,Karaoke Bar,8.7
83,Chinatown,40.71561842231432,-73.99427936255978,Little Canal,579f74eb498e9a4d6caabeda,40.714317,-73.990361,Coffee Shop,8.9
84,Chinatown,40.71561842231432,-73.99427936255978,l'estudio,587996ef0923920c21ea4603,40.71571997526929,-73.99033245121464,American Restaurant,8.5
